id,app,source,url,reviewer,country,date,stars,tenure,problem_ids,paraphrase,verbatim_snippet,grade,notes
R-BP-007,BeProfit,taranker_reprint,https://taranker.com/shopify-beprofit-profit-tracker-app-customer-reviews,Ecolino.ro,RO,2025-12-01,5,n/a,P-010|P-016,Clear picture after all costs; multi-shop merged view is the unlock.,One thing that makes it even better is the multi-shop view,reprint,5-star job
R-BP-008,BeProfit,shopify_listing,https://apps.shopify.com/beprofit-profit-tracker/reviews?ratings%5B%5D=1,Daily Ritual Boutique,US,2024-04-17,1,>2 years,P-003|P-007,Free plan removed; entry 49; locked out of own expense history.,Now I'm locked out of accessing reports of my expenses unless I pay.,primary_listing,
R-BP-009,BeProfit,shopify_listing,https://apps.shopify.com/beprofit-profit-tracker/reviews?ratings%5B%5D=1,Moon Magic,SG,2026-03-04,1,~4 years,P-001|P-008,30M revenue 3 brands; marketing costs will not pull; then ghosted.,It does not pull marketing costs correctly.,primary_listing,
R-AZ-001,Analyzify,appnavigator_reprint,https://appnavigator.io/app/analyzify/reviews/?rating=1,The Watch Factory,IN,2025-09-24,1,>1 year,P-008,Premium tickets from 2025-08-07 unresolved; support window expired 2025-09-16 due to their delay; Google Ads cart data still wrong.,not a single critical issue has been resolved,reprint,
R-AZ-002,Analyzify,appnavigator_reprint,https://appnavigator.io/app/analyzify/reviews/?rating=1,Duckfeet Australia,AU,2025-04-13,1,5 months,P-009,Multiple GA4 properties (at least 4); Embed plus Customer Events; Google Ads disapprovals and revenue loss; stay native Shopify.,quadruplicate tracking and corrupted analytics data,reprint,
R-AZ-003,Analyzify,taranker_reprint,https://taranker.com/shopify-analyzify-app-customer-reviews,Sacred Rituel Beauty,n/a,2025-07-29,5,years,P-009|P-015,Hired after over-attribution between Google and Meta; tracking treated as electricity/water.,our tracking had lost some of its reliability with over attribution between Google and Meta,reprint,5-star states the Mcfly thesis then buys a pixel priest
R-AZ-004,Analyzify,appnavigator_reprint,https://appnavigator.io/app/analyzify/reviews/?rating=1,Tameson.com,NL,2024-06-06,1,~3 years,P-008|P-010|P-016,Six stores one GTM six licenses; first prod beta after five months; then silent critical order-name bug.,We paid licensing fees for six stores despite all stores being on the identical codebase,reprint,
R-AZ-005,Analyzify,appnavigator_reprint,https://appnavigator.io/app/analyzify/reviews/?rating=1,MakeMyGift,CA,2026-05-08,1,~3 years,P-008|P-009,Worked then died twice; paid support; second outage dropped sales.,causing a significant drop in sales,reprint,
R-AZ-006,Analyzify,taranker_reprint,https://taranker.com/shopify-analyzify-app-customer-reviews,NVMOS,n/a,2026-01-20,1,n/a,P-007|P-003,Lifetime/one-time plan later charged for add-ons that were included.,We're being asked to pay again for functionality we were already promised.,reprint,
R-TW-002,TripleWhale,shopify_listing,https://apps.shopify.com/triplewhale-1/reviews?ratings%5B%5D=1,ETHNIK LIVING,US,2024-11-06,1,>1 year,P-007,No refund; nearly impossible to cancel.,They'll never issue a refund,primary_listing,
R-TW-003,TripleWhale,shopify_listing,https://apps.shopify.com/triplewhale-1,BioPower Pet,US,2026-04-02,2,>1 year,P-007|P-006,Bugs; terrible UI; enterprise overload for a small shop; stays because of historical data.,If we didn't have so much invested in historical data I would change.,primary_listing,
R-TW-004,TripleWhale,shopify_listing,https://apps.shopify.com/triplewhale-1/reviews?ratings%5B%5D=1,Zamage,US,2025-12-12,1,~3 years,P-008,Polished onboarding; contracted CSM unsure and escalates without answers.,Strong Sales Onboarding Disappointing Ongoing Support,primary_listing,
R-TW-005,TripleWhale,shopify_listing,https://apps.shopify.com/triplewhale-1/reviews?ratings%5B%5D=1,Diluu,UK,2024-10-23,1,5 days,P-009,Google Ads account banned after installing the pixel.,My Google ads account got banned because of installing this pixel.,primary_listing,
R-TW-006,TripleWhale,shopify_listing,https://apps.shopify.com/triplewhale-1/reviews,Cocaine Coffee,US,2026-07-20,5,2 days,P-014,5-star still wants a warning on Foundation AI usage limits.,triple whale should give more warning about AI usage limitations especially for the foundation plan,primary_listing,
R-TW-007,TripleWhale,shopify_listing,https://apps.shopify.com/triplewhale-1/reviews?ratings%5B%5D=1,Tooltekt,UK,2024-11-18,1,~1 year,P-007,Monthly pay is a monthly contract; 60-day guarantee did not work.,even if you choose a monthly payment you sign a monthly contract,primary_listing,
R-G2-001,TripleWhale,g2,https://www.g2.com/it/products/triple-whale/reviews?qs=pros-and-cons,Verified G2 user,n/a,n/a,n/a,n/a,P-008,Pays over 600/month; no support; one issue open three months.,we still do not receive any customer support,primary_listing,IT locale mirror of G2 cons
R-G2-002,TripleWhale,g2,https://www.g2.com/it/products/triple-whale/reviews?qs=pros-and-cons,Ash O.,n/a,n/a,2.5,n/a,P-015|P-016,Agency partner on performance pricing; attribution to original source fails about half the time.,the 50% delle volte non annota correttamente l attribuzione,primary_listing,Italian G2 UI; sense confirmed
R-PO-001,Polar,trustpilot,https://www.trustpilot.com/reviews/690da52c91938d8e1b9286b7,Maja,n/a,2025-11-07,n/a,n/a,P-003|P-010|P-008,Shopify list price != higher post-install sales quote; missing YoY revenue chart; 6 stores 1 warehouse inventory x6; 1.5 months unfixed.,The pricing communicated when installing the app via Shopify was completely different,primary_listing,
R-PO-002,Polar,appnavigator_reprint,https://appnavigator.io/app/polar-analytics/reviews/1550354,dryoasisplants,US,2024-10-01,1,6 minutes,P-013,Cannot try without a sales call.,before you can try - it requires a sales call.,reprint,
R-PO-003,Polar,shopify_listing,https://apps.shopify.com/polar-analytics/reviews?ratings%5B%5D=1,Skechers.dk,DK,2023-05-12,1,6 minutes,P-013,Email verify never arrives; uninstalled.,asks me to verify email adress based on an email i never recieve,primary_listing,
R-PO-004,Polar,shopify_listing,https://apps.shopify.com/polar-analytics/reviews?ratings%5B%5D=1,Minseart,DE,2025-04-25,1,5 minutes,P-013,Gmail button then private emails not allowed.,keine privaten Emails erlaubt,primary_listing,
R-KL-001,Kleio,shopify_listing,https://apps.shopify.com/kleio,Trek Light,US,2026-08-12,5,5 months,P-006|P-014,Left Triple Whale for Kleio; MCP+Claude useful; 29/mo no-brainer.,Kleio made it easy to say goodbye to TripleWhale and I haven't looked back.,primary_listing,Undercutter job
R-KL-002,Kleio,shopify_listing,https://apps.shopify.com/kleio,EMME,US,2026-08-11,5,8 months,P-003|P-006,Better and cheaper than TW at 29/mo.,Better than triplewhale cheaper than triplewhale It's literally $29/month.,primary_listing,
R-TW-DOC-001,TripleWhale,vendor_doc,https://triplewhale.readme.io/docs/why-do-my-order-based-sales-metrics-not-match-between-shopify-and-triple-whale,Triple Whale docs,n/a,n/a,n/a,n/a,P-005|P-015,Vendor: order edits/returns can make Shopify day metrics != TW because TW parks updates on original order date.,,vendor_doc,Not a review; explains fights
R-NB-DOC-001,Northbeam,vendor_doc,https://docs.northbeam.io/docs/setting-up-google-ads-for-northbeam,Northbeam docs,n/a,n/a,n/a,n/a,P-015,Vendor: platform vs Northbeam discrepancies expected; missing UTMs split spend and revenue.,Discrepancies in Revenue Orders and Visits are expected.,vendor_doc,Off-store
